"","Date","ColonyID","Timepoint","Phenotype","Species","mean_A630","mean_A663","mean_A750","blank_750","A630_corrected","A663_corrected","chla.ug.ml","chlc2.ug.ml","X","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2","Notes","chla.ug.cm2","chlc2.ug.cm2"
"1",20230810,"1","April_2023","Susceptible","Montipora capitata",0.473333333333333,1.26033333333333,0.166333333333333,0.0641666666666667,0.409166666666667,1.19616666666667,22.3505305555556,11.2370666666667,1,5.063,5.827,0.764,22.9137036334046,"",9.75421996947363,4.90408135081436
"2",20230810,"11","April_2023","Susceptible","Montipora capitata",0.347,0.55,0.207,0.0641666666666667,0.282833333333333,0.485833333333333,8.95343611111111,9.83063333333333,5,1.445,1.666,0.221,6.62817866882516,"",13.5081393524024,14.8315756477274
"3",20230810,"12","April_2023","Resistant","Montipora capitata",0.379,0.625333333333333,0.296,0.0641666666666667,0.314833333333333,0.561166666666667,10.3544027777778,10.8196666666667,6,1.365,1.606,0.241,7.2280138424745,"",14.3253776257752,14.9690729742191
"4",20230810,"15","April_2023","Susceptible","Montipora capitata",0.46,1.001,0.281666666666667,0.0641666666666667,0.395833333333333,0.936833333333333,17.4244527777778,12.2040333333333,7,2.141,2.375,0.234,7.01807153169723,"",24.8279783115347,17.3894399312028
"5",20230810,"16","April_2023","Resistant","Montipora capitata",0.404,0.926666666666667,0.189,0.0641666666666667,0.339833333333333,0.8625,16.0681361111111,10.12535,8,3.246,3.672,0.426,12.7764891987309,"",12.576331307592,7.9249861542604
"6",20230810,"19","April_2023","Susceptible","Montipora capitata",0.424,1.03733333333333,0.228,0.0641666666666667,0.359833333333333,0.973166666666667,18.1550027777778,10.3588166666667,9,2.594,3.308,0.714,21.4141156992813,"",8.4780539307477,4.83737774285694
"7",20230810,"2","April_2023","Resistant","Montipora capitata",0.342,0.607333333333333,0.152333333333333,0.0641666666666667,0.277833333333333,0.543166666666667,10.0509694444444,9.25801666666667,2,3.095,3.401,0.306,9.17747815683483,"",10.9517770270683,10.0877566892075
"8",20230810,"20","April_2023","Resistant","Montipora capitata",0.397,0.907,0.261,0.0641666666666667,0.332833333333333,0.842833333333333,15.7009527777778,9.92828333333333,10,2.992,3.368,0.376,11.2769012646075,"",13.9231092029289,8.80408819796375
"9",20230810,"201","April_2023","Susceptible","Montipora capitata",0.200666666666667,0.358,0.128333333333333,0.0641666666666667,0.1365,0.293833333333333,5.451925,4.38528333333333,21,2.863,3.195,0.332,9.95726388257897,"",5.47532441069336,4.40410476717981
"10",20230810,"202","April_2023","Resistant","Montipora capitata",0.187666666666667,0.508666666666667,0.093,0.0641666666666667,0.1235,0.4445,8.33599166666667,2.8868,22,2.164,2.434,0.27,8.09777484426604,"",10.2941756556362,3.5649299412716
"11",20230810,"203","April_2023","Susceptible","Montipora capitata",0.271666666666667,0.711666666666667,0.127,0.0641666666666667,0.2075,0.6475,12.1135416666667,5.45125,23,2.641,3.017,0.376,11.2769012646075,"",10.7419062936065,4.83399638968971
"12",20230810,"204","April_2023","Resistant","Montipora capitata",0.191333333333333,0.498,0.100333333333333,0.0641666666666667,0.127166666666667,0.433833333333333,8.12888055555556,3.11688333333333,24,2,2.219,0.219,6.56819515146022,"",12.3761252035095,4.74541827923672
"13",20230810,"206","April_2023","Resistant","Montipora capitata",0.231666666666667,0.684,0.0926666666666667,0.0641666666666667,0.1675,0.619833333333333,11.6291583333333,3.81263333333333,25,2.73,3.111,0.381,11.4268600580199,"",10.1770375013663,3.3365537986592
"14",20230810,"207","April_2023","Susceptible","Montipora capitata",0.211666666666667,0.527333333333333,0.107333333333333,0.0641666666666667,0.1475,0.463166666666667,8.66599166666667,3.85746666666667,26,1.956,2.252,0.296,8.87756057001017,"",9.76168126178917,4.34518766303641
"15",20230810,"208","April_2023","Resistant","Montipora capitata",0.230333333333333,0.657,0.110333333333333,0.0641666666666667,0.166166666666667,0.592833333333333,11.1162305555556,3.91578333333333,27,1.915,2.285,0.37,11.0969507125127,"",10.0173740007885,3.5287021045502
"16",20230810,"209","April_2023","Susceptible","Montipora capitata",0.334,0.813,0.160666666666667,0.0641666666666667,0.269833333333333,0.748833333333333,13.9774527777778,7.65253333333333,28,2.212,2.546,0.334,10.0172473999439,"",13.9533868134834,7.63935742804574
"17",20230810,"210","April_2023","Resistant","Montipora capitata",0.349333333333333,0.748,0.199333333333333,0.0641666666666667,0.285166666666667,0.683833333333333,12.7228472222222,8.73808333333334,29,1.923,2.214,0.291,8.72760177659783,"",14.5777128103361,10.0120096642856
"18",20230810,"211","April_2023","Susceptible","Montipora capitata",0.427,0.784333333333333,0.275333333333333,0.0641666666666667,0.362833333333333,0.720166666666667,13.3321527777778,12.0249166666667,30,2.733,3.022,0.289,8.6676182592329,"",15.381564322559,13.8733805608681
